,Region,IndustrySector,Sex,Ethnicity,Race,VeteranStatus,SizeOfFirm,FACTORS_P,FACTORS_P_LABEL,NumberOfRespondents,FIRMPDEMP_PCT,FIRMPDEMP_PCT_F,TotalRevenueOfFirmsInCategory,RCPPDEMP_PCT,RCPPDEMP_PCT_F,NumberOfEmployeesInCategory,EMP_PCT,EMP_PCT_F,AnnualPayroll,PAYANN_PCT,PAYANN_PCT_F,FIRMPDEMP_PCT_S,FIRMPDEMP_PCT_S_F,RCPPDEMP_PCT_S,RCPPDEMP_PCT_S_F,EMP_PCT_S,EMP_PCT_S_F,PAYANN_PCT_S,PAYANN_PCT_S_F
14,United States,Total for all sectors,Total,Total,Total,Total,All firms,T3E36R99,Specialized Software: Total Reporting,4736430,100.0,,29843968439,100.0,,93918336,100.0,,5036467137,100.0,,0.0,,0.0,,0.0,,0.0,
15,United States,Total for all sectors,Total,Total,Total,Total,All firms,T4E36R01,Robotics: Technology was too expensive,254278,5.4,,2130450162,7.2,,5965365,6.4,,315819401,6.3,,0.0,,4.6,,1.6,,4.3,
16,United States,Total for all sectors,Total,Total,Total,Total,All firms,T4E36R02,Robotics: Technology was not mature,27670,0.6,,1679032308,5.7,,3520407,3.8,,223016254,4.5,,0.0,,14.3,,7.8,,10.6,
17,United States,Total for all sectors,Total,Total,Total,Total,All firms,T4E36R03,Robotics: Lacked access to required data,14799,0.3,,797524792,2.7,,1039815,1.1,,81507070,1.6,,0.0,,6.8,,1.6,,3.6,
18,United States,Total for all sectors,Total,Total,Total,Total,All firms,T4E36R04,Robotics: Required data not reliable,9020,0.2,,786568367,2.7,,890080,1.0,,72116660,1.4,,0.0,,7.3,,1.7,,3.7,
19,United States,Total for all sectors,Total,Total,Total,Total,All firms,T4E36R05,Robotics: Lacked access to required human capital and talent,24077,0.5,,1373196193,4.6,,2133315,2.3,,157952192,3.2,,0.0,,10.9,,3.8,,6.8,
20,United States,Total for all sectors,Total,Total,Total,Total,All firms,T4E36R06,Robotics: Laws and regulations,13508,0.3,,594361222,2.0,,1004679,1.1,,76167210,1.5,,0.0,,3.9,,1.5,,3.3,
21,United States,Total for all sectors,Total,Total,Total,Total,All firms,T4E36R07,Robotics: Concerns regarding safety and security (physical security and/or cyber security),17388,0.4,,1086967798,3.7,,1627389,1.7,,123996069,2.5,,0.0,,9.4,,3.3,,5.9,
22,United States,Total for all sectors,Total,Total,Total,Total,All firms,T4E36R08,Robotics: Lacked access to capital,35054,0.7,,761845714,2.6,,1582377,1.7,,105543465,2.1,,0.0,,5.4,,1.9,,4.0,
23,United States,Total for all sectors,Total,Total,Total,Total,All firms,T4E36R09,Robotics: Technology not applicable to this business,2372042,50.1,,11353752814,38.3,,41428304,44.3,,2026516860,40.5,,0.2,,25.8,,10.2,,19.6,
24,United States,Total for all sectors,Total,Total,Total,Total,All firms,T4E36R10,Robotics: No factors adversely affected the adoption of this technology,2046199,43.2,,15101179604,51.0,,43730575,46.8,,2506981896,50.1,,0.2,,14.5,,4.3,,10.4,
25,United States,Total for all sectors,Total,Total,Total,Total,All firms,T4E36R99,Robotics: Total Reporting,4734415,100.0,,29629676057,100.0,,93526647,100.0,,5002363293,100.0,,0.0,,0.0,,0.0,,0.0,
26,United States,Total for all sectors,Total,Total,Total,Total,All firms,T5E36R01,Specialized Equipment: Technology was too expensive,275073,5.8,,2250588066,7.5,,6131571,6.5,,333217703,6.6,,0.1,,6.2,,1.7,,4.6,
27,United States,Total for all sectors,Total,Total,Total,Total,All firms,T5E36R02,Specialized Equipment: Technology was not mature,20456,0.4,,911764718,3.1,,1952321,2.1,,140882259,2.8,,0.0,,7.2,,4.4,,6.3,
28,United States,Total for all sectors,Total,Total,Total,Total,All firms,T5E36R03,Specialized Equipment: Lacked access to required data,15866,0.3,,960346062,3.2,,1092724,1.2,,94766700,1.9,,0.0,,8.6,,2.5,,4.6,
29,United States,Total for all sectors,Total,Total,Total,Total,All firms,T5E36R04,Specialized Equipment: Required data not reliable,9139,0.2,,708921237,2.4,,622146,0.7,,61815291,1.2,,0.0,,6.4,,1.4,,3.0,
30,United States,Total for all sectors,Total,Total,Total,Total,All firms,T5E36R05,Specialized Equipment: Lacked access to required human capital and talent,27301,0.6,,1398143685,4.7,,2130926,2.3,,148043142,2.9,,0.0,,10.0,,4.3,,6.1,
31,United States,Total for all sectors,Total,Total,Total,Total,All firms,T5E36R06,Specialized Equipment: Laws and regulations,19150,0.4,,612257090,2.1,,933520,1.0,,77888636,1.5,,0.0,,3.9,,1.5,,3.1,
32,United States,Total for all sectors,Total,Total,Total,Total,All firms,T5E36R07,Specialized Equipment: Concerns regarding safety and security (physical security and/or cyber security),21711,0.5,,1066598635,3.6,,2052506,2.2,,131845987,2.6,,0.0,,8.1,,4.7,,6.0,
33,United States,Total for all sectors,Total,Total,Total,Total,All firms,T5E36R08,Specialized Equipment: Lacked access to capital,57330,1.2,,1007545261,3.4,,1806546,1.9,,131170708,2.6,,0.0,,6.9,,2.0,,4.2,
34,United States,Total for all sectors,Total,Total,Total,Total,All firms,T5E36R09,Specialized Equipment: Technology not applicable to this business,2063934,43.5,,9560258698,32.0,,34808209,37.0,,1692284769,33.6,,0.3,,15.2,,6.2,,12.9,
35,United States,Total for all sectors,Total,Total,Total,Total,All firms,T5E36R10,Specialized Equipment: No factors adversely affected the adoption of this technology,2315272,48.8,,17123733121,57.4,,50540087,53.8,,2877293017,57.1,,0.2,,6.1,,2.5,,6.1,
36,United States,Total for all sectors,Total,Total,Total,Total,All firms,T5E36R99,Specialized Equipment: Total Reporting,4748719,100.0,,29856619758,100.0,,94018649,100.0,,5039164040,100.0,,0.0,,0.0,,0.0,,0.0,
37,United States,Total for all sectors,Total,Total,Total,Total,All firms,T1E36R01,Artificial Intelligence: Technology was too expensive,262393,5.5,,2143173036,7.2,,6175034,6.6,,342092756,6.8,,0.1,,4.4,,1.9,,4.0,
38,United States,Total for all sectors,Total,Total,Total,Total,All firms,T1E36R02,Artificial Intelligence: Technology was not mature,52444,1.1,,2663991918,8.9,,5275701,5.6,,389554932,7.7,,0.1,,20.2,,10.3,,15.6,
39,United States,Total for all sectors,Total,Total,Total,Total,All firms,T1E36R03,Artificial Intelligence: Lacked access to required data,23752,0.5,,1807135747,6.1,,2650190,2.8,,206768472,4.1,,0.0,,15.9,,6.6,,9.8,
40,United States,Total for all sectors,Total,Total,Total,Total,All firms,T1E36R04,Artificial Intelligence: Required data not reliable,13313,0.3,,1487622434,5.0,,2346443,2.5,,172712343,3.4,,0.0,,13.5,,6.2,,8.9,
41,United States,Total for all sectors,Total,Total,Total,Total,All firms,T1E36R05,Artificial Intelligence: Lacked access to required human capital and talent,34868,0.7,,2225833249,7.5,,3567415,3.8,,295026559,5.9,,0.0,,16.1,,7.7,,12.7,
42,United States,Total for all sectors,Total,Total,Total,Total,All firms,T1E36R06,Artificial Intelligence: Laws and regulations,19242,0.4,,1223490507,4.1,,1597283,1.7,,134394192,2.7,,0.0,,10.8,,3.1,,6.4,
43,United States,Total for all sectors,Total,Total,Total,Total,All firms,T1E36R07,Artificial Intelligence: Concerns regarding safety and security (physical security and/or cyber security),28119,0.6,,1633809138,5.5,,2124555,2.3,,176927535,3.5,,0.0,,13.9,,3.9,,7.9,
44,United States,Total for all sectors,Total,Total,Total,Total,All firms,T1E36R08,Artificial Intelligence: Lacked access to capital,40846,0.9,,756825497,2.5,,1437668,1.5,,107016777,2.1,,0.0,,4.9,,1.8,,3.5,
45,United States,Total for all sectors,Total,Total,Total,Total,All firms,T1E36R09,Artificial Intelligence: Technology not applicable to this business,2314998,48.8,,11012317863,36.9,,40513344,43.1,,1918663667,38.1,,0.2,,26.6,,10.7,,21.5,
46,United States,Total for all sectors,Total,Total,Total,Total,All firms,T1E36R10,Artificial Intelligence: No factors adversely affected the adoption of this technology,2082111,43.9,,14769080544,49.5,,43330108,46.1,,2478117205,49.2,,0.2,,10.6,,2.6,,7.8,
47,United States,Total for all sectors,Total,Total,Total,Total,All firms,T1E36R99,Artificial Intelligence: Total Reporting,4747916,100.0,,29863957288,100.0,,94021639,100.0,,5040956336,100.0,,0.0,,0.0,,0.0,,0.0,
48,United States,Total for all sectors,Total,Total,Total,Total,All firms,T2E36R01,Cloud-Based: Technology was too expensive,255761,5.4,,1967320494,6.6,,5626847,6.0,,306258251,6.1,,0.1,,4.6,,1.9,,3.0,
49,United States,Total for all sectors,Total,Total,Total,Total,All firms,T2E36R02,Cloud-Based: Technology was not mature,30850,0.7,,1247278027,4.2,,2518457,2.7,,184787198,3.7,,0.0,,10.2,,5.5,,8.2,
50,United States,Total for all sectors,Total,Total,Total,Total,All firms,T2E36R03,Cloud-Based: Lacked access to required data,22584,0.5,,830609869,2.8,,1308095,1.4,,103707010,2.1,,0.0,,6.7,,2.7,,4.6,
51,United States,Total for all sectors,Total,Total,Total,Total,All firms,T2E36R04,Cloud-Based: Required data not reliable,14080,0.3,,560330318,1.9,,801856,0.9,,70063314,1.4,,0.0,,4.7,,1.6,,3.2,
52,United States,Total for all sectors,Total,Total,Total,Total,All firms,T2E36R05,Cloud-Based: Lacked access to required human capital and talent,33862,0.7,,1538449213,5.2,,2501990,2.7,,191781941,3.8,,0.0,,12.1,,5.1,,8.3,
53,United States,Total for all sectors,Total,Total,Total,Total,All firms,T2E36R06,Cloud-Based: Laws and regulations,28084,0.6,,962203629,3.2,,1614091,1.7,,136057226,2.7,,0.0,,7.8,,3.0,,5.9,
54,United States,Total for all sectors,Total,Total,Total,Total,All firms,T2E36R07,Cloud-Based: Concerns regarding safety and security (physical security and/or cyber security),93873,2.0,,2085924625,7.0,,4607533,4.9,,318126656,6.3,,0.1,,12.9,,6.2,,9.9,
55,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T1E36R01,Artificial Intelligence: Technology was too expensive,17236,5.4,,6300410,4.9,,0,0.0,,675701,3.6,,0.3,,1.0,,0.0,,0.4,
56,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T1E36R02,Artificial Intelligence: Technology was not mature,0,0.0,S,0,0.0,S,0,0.0,S,0,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S
57,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T1E36R03,Artificial Intelligence: Lacked access to required data,1176,0.4,,391593,0.3,,0,0.0,,73470,0.4,,0.1,,0.1,,0.0,,0.1,
58,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T1E36R04,Artificial Intelligence: Required data not reliable,1096,0.3,,240727,0.2,,0,0.0,,31126,0.2,,0.1,,0.1,,0.0,,0.0,
59,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T1E36R05,Artificial Intelligence: Lacked access to required human capital and talent,2107,0.7,,474221,0.4,,0,0.0,,81913,0.4,,0.1,,0.2,,0.0,,0.1,
60,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T1E36R06,Artificial Intelligence: Laws and regulations,1307,0.4,,415476,0.3,,0,0.0,,52737,0.3,,0.1,,0.1,,0.0,,0.1,
61,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T1E36R07,Artificial Intelligence: Concerns regarding safety and security (physical security and/or cyber security),1228,0.4,,284186,0.2,,0,0.0,,56134,0.3,,0.1,,0.1,,0.0,,0.1,
62,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T1E36R08,Artificial Intelligence: Lacked access to capital,3183,1.0,,1355280,1.1,,0,0.0,,130776,0.7,,0.1,,0.5,,0.0,,0.2,
63,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T1E36R09,Artificial Intelligence: Technology not applicable to this business,153119,48.1,,59573868,46.6,,0,0.0,,8870693,47.6,,0.4,,3.8,,0.0,,3.5,
64,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T1E36R10,Artificial Intelligence: No factors adversely affected the adoption of this technology,142098,44.7,,59388794,46.5,,0,0.0,,8757564,47.0,,0.5,,4.0,,0.0,,3.6,
65,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T1E36R99,Artificial Intelligence: Total Reporting,318203,100.0,,127849598,100.0,,0,0.0,,18620811,100.0,,0.0,,0.0,,0.0,,0.0,
66,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T2E36R01,Cloud-Based: Technology was too expensive,16485,5.2,,6260516,4.9,,0,0.0,,621662,3.3,,0.2,,0.7,,0.0,,0.4,
67,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T2E36R02,Cloud-Based: Technology was not mature,0,0.0,S,0,0.0,S,0,0.0,S,0,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S
68,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T2E36R03,Cloud-Based: Lacked access to required data,1397,0.4,,658282,0.5,,0,0.0,,78050,0.4,,0.1,,0.1,,0.0,,0.1,
69,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T2E36R04,Cloud-Based: Required data not reliable,656,0.2,,74775,0.1,,0,0.0,,12462,0.1,,0.0,,0.0,,0.0,,0.0,
70,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T2E36R05,Cloud-Based: Lacked access to required human capital and talent,0,0.0,S,0,0.0,S,0,0.0,S,0,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S
71,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T2E36R06,Cloud-Based: Laws and regulations,1542,0.5,,306127,0.2,,0,0.0,,47142,0.3,,0.1,,0.1,,0.0,,0.0,
72,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T2E36R07,Cloud-Based: Concerns regarding safety and security (physical security and/or cyber security),4742,1.5,,1794546,1.4,,0,0.0,,311171,1.7,,0.1,,0.7,,0.0,,1.0,
73,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T2E36R08,Cloud-Based: Lacked access to capital,2981,0.9,,1533475,1.2,,0,0.0,,159135,0.9,,0.1,,0.5,,0.0,,0.3,
74,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T2E36R09,Cloud-Based: Technology not applicable to this business,127093,40.0,,46329195,36.3,,0,0.0,,7157832,38.5,,0.6,,3.8,,0.0,,3.7,
75,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T2E36R10,Cloud-Based: No factors adversely affected the adoption of this technology,165025,51.9,,70541067,55.2,,0,0.0,,10231543,55.0,,0.5,,3.7,,0.0,,3.6,
76,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T2E36R99,Cloud-Based: Total Reporting,317847,100.0,,127759281,100.0,,0,0.0,,18607617,100.0,,0.0,,0.0,,0.0,,0.0,
77,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T3E36R01,Specialized Software: Technology was too expensive,17298,5.4,,5742810,4.5,,0,0.0,,612751,3.3,,0.3,,0.8,,0.0,,0.4,
78,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T3E36R02,Specialized Software: Technology was not mature,1668,0.5,,402993,0.3,,0,0.0,,68905,0.4,,0.1,,0.1,,0.0,,0.1,
79,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T3E36R03,Specialized Software: Lacked access to required data,1211,0.4,,356005,0.3,,0,0.0,,44732,0.2,,0.0,,0.1,,0.0,,0.1,
80,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T4E36R99,Robotics: Total Reporting,317609,100.0,,127617611,100.0,,0,0.0,,18591463,100.0,,0.0,,0.0,,0.0,,0.0,
81,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T5E36R01,Specialized Equipment: Technology was too expensive,16645,5.2,,5404961,4.2,,0,0.0,,646253,3.5,,0.2,,0.8,,0.0,,0.4,
82,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T5E36R02,Specialized Equipment: Technology was not mature,0,0.0,S,0,0.0,S,0,0.0,S,0,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S
83,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T5E36R03,Specialized Equipment: Lacked access to required data,810,0.3,,402675,0.3,,0,0.0,,45245,0.2,,0.0,,0.2,,0.0,,0.1,
84,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T5E36R04,Specialized Equipment: Required data not reliable,749,0.2,,271347,0.2,,0,0.0,,51571,0.3,,0.1,,0.1,,0.0,,0.1,
85,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T5E36R05,Specialized Equipment: Lacked access to required human capital and talent,1430,0.4,,295273,0.2,,0,0.0,,61905,0.3,,0.1,,0.1,,0.0,,0.1,
86,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T5E36R06,Specialized Equipment: Laws and regulations,1142,0.4,,228113,0.2,,0,0.0,,38840,0.2,,0.1,,0.1,,0.0,,0.1,
87,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T5E36R07,Specialized Equipment: Concerns regarding safety and security (physical security and/or cyber security),959,0.3,,149284,0.1,,0,0.0,,24879,0.1,,0.1,,0.0,,0.0,,0.1,
88,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T5E36R08,Specialized Equipment: Lacked access to capital,3849,1.2,,1747685,1.4,,0,0.0,,172535,0.9,,0.1,,0.4,,0.0,,0.3,
89,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T5E36R09,Specialized Equipment: Technology not applicable to this business,143857,45.2,,55556902,43.5,,0,0.0,,8377619,45.0,,0.4,,3.2,,0.0,,3.5,
90,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T5E36R10,Specialized Equipment: No factors adversely affected the adoption of this technology,152060,47.8,,63869527,50.0,,0,0.0,,9284444,49.9,,0.5,,3.3,,0.0,,3.5,
91,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T5E36R99,Specialized Equipment: Total Reporting,318129,100.0,,127828897,100.0,,0,0.0,,18611558,100.0,,0.0,,0.0,,0.0,,0.0,
92,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T3E36R04,Specialized Software: Required data not reliable,933,0.3,,251055,0.2,,0,0.0,,40266,0.2,,0.0,,0.1,,0.0,,0.1,
93,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T3E36R05,Specialized Software: Lacked access to required human capital and talent,1902,0.6,,381193,0.3,,0,0.0,,82240,0.4,,0.1,,0.1,,0.0,,0.1,
94,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T3E36R06,Specialized Software: Laws and regulations,1342,0.4,,305344,0.2,,0,0.0,,48542,0.3,,0.1,,0.1,,0.0,,0.1,
95,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T3E36R07,Specialized Software: Concerns regarding safety and security (physical security and/or cyber security),0,0.0,S,0,0.0,S,0,0.0,S,0,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S
96,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T3E36R08,Specialized Software: Lacked access to capital,3716,1.2,,1609395,1.3,,0,0.0,,194881,1.0,,0.1,,0.5,,0.0,,0.2,
97,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T3E36R09,Specialized Software: Technology not applicable to this business,126555,39.8,,47681199,37.3,,0,0.0,,7372225,39.6,,0.5,,3.6,,0.0,,3.7,
98,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T3E36R10,Specialized Software: No factors adversely affected the adoption of this technology,167020,52.6,,71996041,56.4,,0,0.0,,10270815,55.2,,0.4,,4.1,,0.0,,3.5,
99,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T3E36R99,Specialized Software: Total Reporting,317703,100.0,,127700779,100.0,,0,0.0,,18605544,100.0,,0.0,,0.0,,0.0,,0.0,
100,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T4E36R01,Robotics: Technology was too expensive,15466,4.9,,5195366,4.1,,0,0.0,,613254,3.3,,0.2,,0.8,,0.0,,0.4,
101,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T4E36R02,Robotics: Technology was not mature,0,0.0,S,0,0.0,S,0,0.0,S,0,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S
102,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T4E36R03,Robotics: Lacked access to required data,937,0.3,,460762,0.4,,0,0.0,,53343,0.3,,0.0,,0.1,,0.0,,0.1,
103,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T4E36R04,Robotics: Required data not reliable,660,0.2,,154399,0.1,,0,0.0,,19872,0.1,,0.1,,0.1,,0.0,,0.0,
104,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T4E36R05,Robotics: Lacked access to required human capital and talent,1399,0.4,,302225,0.2,,0,0.0,,60324,0.3,,0.1,,0.1,,0.0,,0.1,
105,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T4E36R06,Robotics: Laws and regulations,0,0.0,S,0,0.0,S,0,0.0,S,0,0.0,S,0.0,S,0.0,S,0.0,S,0.0,S
106,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T4E36R07,Robotics: Concerns regarding safety and security (physical security and/or cyber security),888,0.3,,227143,0.2,,0,0.0,,27214,0.1,,0.1,,0.1,,0.0,,0.1,
107,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T4E36R08,Robotics: Lacked access to capital,2531,0.8,,1254494,1.0,,0,0.0,,145059,0.8,,0.1,,0.5,,0.0,,0.3,
108,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T4E36R09,Robotics: Technology not applicable to this business,158578,49.9,,62123962,48.7,,0,0.0,,9069501,48.8,,0.5,,2.8,,0.0,,3.6,
109,United States,Total for all sectors,Total,Total,Total,Total,Firms with no employees,T4E36R10,Robotics: No factors adversely affected the adoption of this technology,139253,43.8,,57824265,45.3,,0,0.0,,8634732,46.4,,0.5,,3.1,,0.0,,3.5,
110,United States,Total for all sectors,Total,Total,Total,Total,Firms with 1 to 9 employees,T1E36R01,Artificial Intelligence: Technology was too expensive,183645,5.5,,112060734,5.3,,614615,5.7,,21311019,4.8,,0.1,,0.1,,0.1,,0.1,
111,United States,Total for all sectors,Total,Total,Total,Total,Firms with 1 to 9 employees,T1E36R02,Artificial Intelligence: Technology was not mature,32664,1.0,,22755295,1.1,,110311,1.0,,5799601,1.3,,0.0,,0.1,,0.0,,0.1,
112,United States,Total for all sectors,Total,Total,Total,Total,Firms with 1 to 9 employees,T1E36R03,Artificial Intelligence: Lacked access to required data,16717,0.5,,11528918,0.5,,54828,0.5,,2505961,0.6,,0.0,,0.0,,0.0,,0.0,
113,United States,Total for all sectors,Total,Total,Total,Total,Firms with 1 to 9 employees,T1E36R04,Artificial Intelligence: Required data not reliable,8940,0.3,,6730949,0.3,,28854,0.3,,1340586,0.3,,0.0,,0.0,,0.0,,0.0,
114,United States,Total for all sectors,Total,Total,Total,Total,Firms with 1 to 9 employees,T1E36R05,Artificial Intelligence: Lacked access to required human capital and talent,22702,0.7,,14095500,0.7,,71666,0.7,,3119038,0.7,,0.0,,0.1,,0.0,,0.0,
115,United States,Total for all sectors,Total,Total,Total,Total,Firms with 1 to 9 employees,T1E36R06,Artificial Intelligence: Laws and regulations,13367,0.4,,8949568,0.4,,43781,0.4,,1987735,0.4,,0.0,,0.1,,0.0,,0.0,
116,United States,Total for all sectors,Total,Total,Total,Total,Firms with 1 to 9 employees,T1E36R07,Artificial Intelligence: Concerns regarding safety and security (physical security and/or cyber security),19241,0.6,,12611830,0.6,,62656,0.6,,2606371,0.6,,0.0,,0.1,,0.0,,0.0,
117,United States,Total for all sectors,Total,Total,Total,Total,Firms with 1 to 9 employees,T1E36R08,Artificial Intelligence: Lacked access to capital,27995,0.8,,15585211,0.7,,88694,0.8,,3372097,0.8,,0.0,,0.0,,0.0,,0.0,
118,United States,Total for all sectors,Total,Total,Total,Total,Firms with 1 to 9 employees,T1E36R09,Artificial Intelligence: Technology not applicable to this business,1655952,49.4,,1016836347,48.3,,5247182,49.0,,214209502,48.4,,0.2,,0.4,,0.2,,0.3,
