,Region,IndustrySector,Sex,Ethnicity,Race,VeteranStatus,SizeOfFirm,NumberOfRespondents,TotalRevenueOfFirmsInCategory,NumberOfEmployeesInCategory,AnnualPayroll
23,United States,Total for all sectors,Total,Total,Total,Total,Firms with 250 to 499 employees,21488,2178757220,7491988,398130293
24,United States,Total for all sectors,Total,Total,Total,Total,Firms with 500 employees or more,20149,24343394355,69231676,4194750376
25,United States,Total for all sectors,Female,Total,Total,Total,All firms,1141410,1776835350,10149257,388085223
26,United States,Total for all sectors,Female,Total,Total,Total,Firms with no employees,152923,50468809,0,9058297
27,United States,Total for all sectors,Female,Total,Total,Total,Firms with 1 to 4 employees,593464,206956293,1146253,40261977
28,United States,Total for all sectors,Female,Total,Total,Total,Firms with 5 to 9 employees,190325,172858913,1258633,43157329
29,United States,Total for all sectors,Female,Total,Total,Total,Firms with 10 to 19 employees,113310,190719114,1520811,51656971
30,United States,Total for all sectors,Female,Total,Total,Total,Firms with 20 to 49 employees,64133,286532471,1897699,68820654
31,United States,Total for all sectors,Female,Total,Total,Total,Firms with 50 to 99 employees,16829,212398699,1141762,43993880
32,United States,Total for all sectors,Female,Total,Total,Total,Firms with 100 to 249 employees,7585,226261829,1115052,48388974
33,United States,Total for all sectors,Female,Total,Total,Total,Firms with 250 to 499 employees,1729,150381139,604731,25262043
34,United States,Total for all sectors,Female,Total,Total,Total,Firms with 500 employees or more,1111,280258082,1464316,57485098
35,United States,Total for all sectors,Male,Total,Total,Total,All firms,3496959,11240035485,45346405,2140501692
36,United States,Total for all sectors,Male,Total,Total,Total,Firms with no employees,438513,209446693,0,32124144
37,United States,Total for all sectors,Male,Total,Total,Total,Firms with 1 to 4 employees,1731521,829936817,3456517,149360566
38,United States,Total for all sectors,Male,Total,Total,Total,Firms with 5 to 9 employees,574771,704887118,3788263,163364518
39,United States,Total for all sectors,Male,Total,Total,Total,Firms with 10 to 19 employees,372423,952098093,5009627,222341924
40,United States,Total for all sectors,Male,Total,Total,Total,Firms with 20 to 49 employees,247080,1638134473,7489286,346031182
41,United States,Total for all sectors,Male,Total,Total,Total,Firms with 50 to 99 employees,75740,1448192337,5172858,253921449
42,United States,Total for all sectors,Male,Total,Total,Total,Firms with 100 to 249 employees,40132,1897587402,5900432,305464807
43,United States,Total for all sectors,Male,Total,Total,Total,Firms with 250 to 499 employees,10194,1051638936,3576850,181195261
44,United States,Total for all sectors,Male,Total,Total,Total,Firms with 500 employees or more,6583,2508113615,10952572,486697842
45,United States,Total for all sectors,Equally male/female,Total,Total,Total,All firms,860754,1340608478,7970121,279853007
46,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with no employees,111623,42845589,0,6452843
47,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 1 to 4 employees,420105,180346207,867877,29935088
48,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 5 to 9 employees,152032,154564193,1005379,33970465
49,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 10 to 19 employees,96991,186151937,1307637,42917550
50,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 20 to 49 employees,59370,272466575,1759347,59505590
51,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 50 to 99 employees,13368,167029204,911078,32365658
52,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 100 to 249 employees,5413,162023125,811486,31213303
53,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 250 to 499 employees,1165,62605514,432383,14155387
54,United States,Total for all sectors,Equally male/female,Total,Total,Total,Firms with 500 employees or more,689,112576132,874934,29337123
55,United States,Total for all sectors,Total,Hispanic,Total,Total,All firms,331625,455644682,2972140,101103299
56,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with no employees,40437,16751326,0,2044248
57,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 1 to 4 employees,176528,71341852,353063,12092706
58,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 5 to 9 employees,53201,51991874,351954,11632477
59,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 10 to 19 employees,33756,63130978,454210,15025575
60,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 20 to 49 employees,19172,80246204,571044,19421394
61,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 50 to 99 employees,5377,57571503,363176,12549293
62,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 100 to 249 employees,2423,59736772,335939,11825351
63,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 250 to 499 employees,420,16867583,155052,5059298
64,United States,Total for all sectors,Total,Hispanic,Total,Total,Firms with 500 employees or more,309,38006591,387703,11452957
65,United States,Total for all sectors,Female,Non-Hispanic,Total,Total,Firms with 250 to 499 employees,1586,146211092,551158,23715860
66,United States,Total for all sectors,Female,Non-Hispanic,Total,Total,Firms with 500 employees or more,1050,272164969,1393222,55502182
67,United States,Total for all sectors,Male,Non-Hispanic,Total,Total,All firms,3277302,10883900452,43241670,2062608415
68,United States,Total for all sectors,Male,Non-Hispanic,Total,Total,Firms with no employees,411640,197065193,0,30700002
69,United States,Total for all sectors,Male,Non-Hispanic,Total,Total,Firms with 1 to 4 employees,1616456,780287064,3224541,140777317
70,United States,Total for all sectors,Male,Non-Hispanic,Total,Total,Firms with 5 to 9 employees,538384,667896316,3548464,155091549
71,United States,Total for all sectors,Male,Non-Hispanic,Total,Total,Firms with 10 to 19 employees,350568,906728321,4716937,211891612
72,United States,Total for all sectors,Male,Non-Hispanic,Total,Total,Firms with 20 to 49 employees,233565,1576043809,7088582,331385508
73,United States,Total for all sectors,Male,Non-Hispanic,Total,Total,Firms with 50 to 99 employees,72067,1404773333,4923693,244610904
74,United States,Total for all sectors,Male,Non-Hispanic,Total,Total,Firms with 100 to 249 employees,38450,1845777700,5665325,295907174
75,United States,Total for all sectors,Male,Non-Hispanic,Total,Total,Firms with 250 to 499 employees,9829,1027777276,3435596,175063086
76,United States,Total for all sectors,Male,Non-Hispanic,Total,Total,Firms with 500 employees or more,6341,2477551440,10638531,477181265
77,United States,Total for all sectors,Equally male/female,Non-Hispanic,Total,Total,All firms,786216,1262521175,7357466,261670266
78,United States,Total for all sectors,Equally male/female,Non-Hispanic,Total,Total,Firms with no employees,102244,39837880,0,6022521
79,United States,Total for all sectors,Equally male/female,Non-Hispanic,Total,Total,Firms with 1 to 4 employees,382404,164845377,791473,27472430
80,United States,Total for all sectors,Equally male/female,Non-Hispanic,Total,Total,Firms with 5 to 9 employees,139863,142417643,924052,31289888
81,United States,Total for all sectors,Equally male/female,Non-Hispanic,Total,Total,Firms with 10 to 19 employees,88447,172971554,1192700,39457948
82,United States,Total for all sectors,Equally male/female,Non-Hispanic,Total,Total,Firms with 20 to 49 employees,54344,257425415,1609699,55196099
83,United States,Total for all sectors,Equally male/female,Non-Hispanic,Total,Total,Firms with 50 to 99 employees,12169,158128782,832451,29988097
84,United States,Total for all sectors,Equally male/female,Non-Hispanic,Total,Total,Firms with 100 to 249 employees,4943,154805134,748668,29854672
85,United States,Total for all sectors,Equally male/female,Non-Hispanic,Total,Total,Firms with 250 to 499 employees,1153,62299844,428272,14053607
86,United States,Total for all sectors,Equally male/female,Non-Hispanic,Total,Total,Firms with 500 employees or more,650,109789547,830152,28335004
87,United States,Total for all sectors,Male,Hispanic,Total,Total,Firms with 20 to 49 employees,12406,55366928,365908,12762325
88,United States,Total for all sectors,Male,Hispanic,Total,Total,Firms with 50 to 99 employees,3586,42634220,243577,9073328
89,United States,Total for all sectors,Male,Hispanic,Total,Total,Firms with 100 to 249 employees,1609,50000353,225570,9140563
90,United States,Total for all sectors,Male,Hispanic,Total,Total,Firms with 250 to 499 employees,266,12454937,98763,3432913
91,United States,Total for all sectors,Male,Hispanic,Total,Total,Firms with 500 employees or more,231,28977714,298883,9162435
92,United States,Total for all sectors,Equally male/female,Hispanic,Total,Total,All firms,37700,38767893,291696,8584188
93,United States,Total for all sectors,Equally male/female,Hispanic,Total,Total,Firms with no employees,4465,1537865,0,182466
94,United States,Total for all sectors,Equally male/female,Hispanic,Total,Total,Firms with 1 to 4 employees,19280,8183508,39012,1193588
95,United States,Total for all sectors,Equally male/female,Hispanic,Total,Total,Firms with 5 to 9 employees,6055,6475600,40343,1234738
96,United States,Total for all sectors,Equally male/female,Hispanic,Total,Total,Firms with 10 to 19 employees,4615,6859747,62224,1795373
97,United States,Total for all sectors,Equally male/female,Hispanic,Total,Total,Firms with 20 to 49 employees,2561,8422617,76861,2385139
98,United States,Total for all sectors,Equally male/female,Hispanic,Total,Total,Firms with 50 to 99 employees,0,0,0,0
99,United States,Total for all sectors,Equally male/female,Hispanic,Total,Total,Firms with 100 to 249 employees,140,1649484,16117,399270
100,United States,Total for all sectors,Equally male/female,Hispanic,Total,Total,Firms with 250 to 499 employees,7,242599,2716,80201
101,United States,Total for all sectors,Equally male/female,Hispanic,Total,Total,Firms with 500 employees or more,16,935764,17726,307606
102,United States,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,Total,All firms,49285,71334623,486636,17395617
103,United States,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,Total,Firms with no employees,6052,1918626,0,320143
104,United States,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,Total,Firms with 1 to 4 employees,24407,9999659,50380,1834662
105,United States,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,Total,Firms with 5 to 9 employees,8344,8140922,55691,2007593
106,United States,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,Total,Firms with 10 to 19 employees,5541,10154280,74986,2541937
107,United States,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,Total,Firms with 20 to 49 employees,3642,13501907,109196,3853473
108,United States,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,Total,Firms with 50 to 99 employees,734,5242216,47729,1614379
109,United States,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,Total,Firms with 100 to 249 employees,0,0,0,0
110,United States,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,Total,Firms with 250 to 499 employees,0,0,0,0
111,United States,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,Total,Firms with 500 employees or more,33,3435283,42213,1048654
112,United States,Total for all sectors,Female,Equally Hispanic/non-Hispanic,Total,Total,All firms,2220,1653244,18732,447223
113,United States,Total for all sectors,Female,Equally Hispanic/non-Hispanic,Total,Total,Firms with no employees,202,46764,0,9930
114,United States,Total for all sectors,Female,Equally Hispanic/non-Hispanic,Total,Total,Firms with 1 to 4 employees,1068,398403,2432,72687
115,United States,Total for all sectors,Female,Equally Hispanic/non-Hispanic,Total,Total,Firms with 5 to 9 employees,0,0,0,0
116,United States,Total for all sectors,Female,Equally Hispanic/non-Hispanic,Total,Total,Firms with 10 to 19 employees,0,0,0,0
117,United States,Total for all sectors,Female,Equally Hispanic/non-Hispanic,Total,Total,Firms with 20 to 49 employees,0,0,0,0
120,United States,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,Total,All firms,10229,30361970,146945,7349841
121,United States,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,Total,Firms with no employees,936,402017,0,62356
122,United States,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,Total,Firms with 1 to 4 employees,4919,2283934,10556,492904
123,United States,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,Total,Firms with 5 to 9 employees,1767,2162821,11637,477046
124,United States,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,Total,Firms with 10 to 19 employees,1229,3204143,17183,726495
125,United States,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,Total,Firms with 20 to 49 employees,1107,6723737,34796,1883349
126,United States,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,Total,Firms with 50 to 99 employees,0,0,0,0
127,United States,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,Total,Firms with 100 to 249 employees,0,0,0,0
128,United States,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,Total,Firms with 250 to 499 employees,0,0,0,0
129,United States,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,Total,Firms with 500 employees or more,11,1584461,15157,354142
130,United States,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,Total,All firms,36837,39319409,320958,9598552
131,United States,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,Total,Firms with no employees,4914,1469845,0,247857
132,United States,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,Total,Firms with 1 to 4 employees,18420,7317322,37392,1269070
133,United States,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,Total,Firms with 5 to 9 employees,6114,5670951,40985,1445839
134,United States,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,Total,Firms with 10 to 19 employees,3929,6320636,52713,1664229
135,United States,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,Total,Firms with 20 to 49 employees,2465,6618542,72786,1924352
136,United States,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,Total,Firms with 50 to 99 employees,0,0,0,0
137,United States,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,Total,Firms with 100 to 249 employees,0,0,0,0
138,United States,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,Total,Firms with 250 to 499 employees,4,63071,1395,21578
139,United States,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,Total,Firms with 500 employees or more,23,1850822,27056,694513
140,United States,Total for all sectors,Total,Non-Hispanic,Total,Total,All firms,5118211,13830500008,60007007,2689941006
141,United States,Total for all sectors,Total,Non-Hispanic,Total,Total,Firms with no employees,656569,284091140,0,45270893
142,United States,Total for all sectors,Total,Non-Hispanic,Total,Total,Firms with 1 to 4 employees,2544156,1135897807,5067204,205630263
143,United States,Total for all sectors,Total,Non-Hispanic,Total,Total,Firms with 5 to 9 employees,855586,972177428,5644630,226852241
144,United States,Total for all sectors,Total,Non-Hispanic,Total,Total,Firms with 10 to 19 employees,543427,1255683887,7308878,299348933
145,United States,Total for all sectors,Total,Non-Hispanic,Total,Total,Firms with 20 to 49 employees,347769,2103385409,10466092,451082560
146,United States,Total for all sectors,Total,Non-Hispanic,Total,Total,Firms with 50 to 99 employees,99826,1764806521,6814793,316117315
147,United States,Total for all sectors,Total,Non-Hispanic,Total,Total,Firms with 100 to 249 employees,50270,2218663649,7428477,371787798
148,United States,Total for all sectors,Total,Non-Hispanic,Total,Total,Firms with 250 to 499 employees,12566,1236288212,4415027,212832553
149,United States,Total for all sectors,Total,Non-Hispanic,Total,Total,Firms with 500 employees or more,8042,2859505955,12861905,561018451
150,United States,Total for all sectors,Female,Non-Hispanic,Total,Total,All firms,1054693,1684078381,9407871,365662325
151,United States,Total for all sectors,Female,Non-Hispanic,Total,Total,Firms with no employees,142685,47188068,0,8548371
152,United States,Total for all sectors,Female,Non-Hispanic,Total,Total,Firms with 1 to 4 employees,545293,190765366,1051190,37380517
153,United States,Total for all sectors,Female,Non-Hispanic,Total,Total,Firms with 5 to 9 employees,177337,161863468,1172114,40470805
154,United States,Total for all sectors,Female,Non-Hispanic,Total,Total,Firms with 10 to 19 employees,104412,175984012,1399242,47999373
155,United States,Total for all sectors,Female,Non-Hispanic,Total,Total,Firms with 20 to 49 employees,59858,269916185,1767811,64500953
156,United States,Total for all sectors,Female,Non-Hispanic,Total,Total,Firms with 50 to 99 employees,15591,201904406,1058649,41518314
157,United States,Total for all sectors,Female,Non-Hispanic,Total,Total,Firms with 100 to 249 employees,6879,218080816,1014484,46025952
158,United States,Total for all sectors,Male,Total,White,Total,Firms with 10 to 19 employees,326137,859069864,4379226,201559494
159,United States,Total for all sectors,Male,Total,White,Total,Firms with 20 to 49 employees,221849,1524715059,6743280,318623818
160,United States,Total for all sectors,Male,Total,White,Total,Firms with 50 to 99 employees,69443,1373000168,4746581,236726901
161,United States,Total for all sectors,Male,Total,White,Total,Firms with 100 to 249 employees,37864,1808342440,5576568,289820993
162,United States,Total for all sectors,Male,Total,White,Total,Firms with 250 to 499 employees,9668,1017950763,3381425,172848019
163,United States,Total for all sectors,Male,Total,White,Total,Firms with 500 employees or more,6140,2428904285,10228511,465602055
164,United States,Total for all sectors,Equally male/female,Total,White,Total,All firms,737321,1196645206,6882688,247159302
165,United States,Total for all sectors,Equally male/female,Total,White,Total,Firms with no employees,98636,34773799,0,5519076
166,United States,Total for all sectors,Equally male/female,Total,White,Total,Firms with 1 to 4 employees,359583,152719766,736937,26187197
167,United States,Total for all sectors,Equally male/female,Total,White,Total,Firms with 5 to 9 employees,128705,132547826,852195,29714254
168,United States,Total for all sectors,Equally male/female,Total,White,Total,Firms with 10 to 19 employees,81680,163995478,1102225,37277014
169,United States,Total for all sectors,Equally male/female,Total,White,Total,Firms with 20 to 49 employees,50582,242434543,1505953,52167398
170,United States,Total for all sectors,Equally male/female,Total,White,Total,Firms with 50 to 99 employees,11589,156384631,788053,28871897
171,United States,Total for all sectors,Equally male/female,Total,White,Total,Firms with 100 to 249 employees,4910,153522223,738020,28374689
172,United States,Total for all sectors,Equally male/female,Total,White,Total,Firms with 250 to 499 employees,997,57356572,370368,12244215
173,United States,Total for all sectors,Equally male/female,Total,White,Total,Firms with 500 employees or more,640,102910368,788936,26803561
174,United States,Total for all sectors,Total,Hispanic,White,Total,All firms,317825,441307754,2890829,98232944
175,United States,Total for all sectors,Total,Hispanic,White,Total,Firms with no employees,38679,15765709,0,1959466
176,United States,Total for all sectors,Total,Hispanic,White,Total,Firms with 1 to 4 employees,168684,68866999,337933,11587140
177,United States,Total for all sectors,Total,Hispanic,White,Total,Firms with 5 to 9 employees,50976,49903238,337480,11210193
178,United States,Total for all sectors,Total,Hispanic,White,Total,Firms with 10 to 19 employees,32473,61250070,437513,14521015
179,United States,Total for all sectors,Total,Hispanic,White,Total,Firms with 20 to 49 employees,18669,76835306,555268,18684409
180,United States,Total for all sectors,Total,Hispanic,White,Total,Firms with 50 to 99 employees,5200,54558575,352023,12119006
181,United States,Total for all sectors,Total,Hispanic,White,Total,Firms with 100 to 249 employees,2421,59716520,335719,11819860
182,United States,Total for all sectors,Total,Hispanic,White,Total,Firms with 250 to 499 employees,419,16842556,154773,5049618
183,United States,Total for all sectors,Total,Hispanic,White,Total,Firms with 500 employees or more,300,37568781,380120,11282238
184,United States,Total for all sectors,Female,Hispanic,White,Total,All firms,80008,87927836,698666,21164857
185,United States,Total for all sectors,Male,Hispanic,White,Total,All firms,201601,316426423,1908838,68808454
186,United States,Total for all sectors,Equally male/female,Hispanic,White,Total,All firms,36214,36953495,283325,8259633
187,United States,Total for all sectors,Total,Equally Hispanic/non-Hispanic,White,Total,All firms,44265,66976711,452748,16162763
188,United States,Total for all sectors,Total,Equally Hispanic/non-Hispanic,White,Total,Firms with no employees,5499,1727359,0,270982
189,United States,Total for all sectors,Total,Equally Hispanic/non-Hispanic,White,Total,Firms with 1 to 4 employees,21871,9021486,45421,1630864
190,United States,Total for all sectors,Total,Equally Hispanic/non-Hispanic,White,Total,Firms with 5 to 9 employees,7474,7507648,49965,1851302
191,United States,Total for all sectors,Total,Equally Hispanic/non-Hispanic,White,Total,Firms with 10 to 19 employees,4804,9337665,65236,2278445
192,United States,Total for all sectors,Total,Equally Hispanic/non-Hispanic,White,Total,Firms with 20 to 49 employees,3355,12137179,100109,3444626
193,United States,Total for all sectors,Total,Equally Hispanic/non-Hispanic,White,Total,Firms with 50 to 99 employees,702,5164987,46048,1592715
194,United States,Total for all sectors,Total,Equally Hispanic/non-Hispanic,White,Total,Firms with 100 to 249 employees,0,0,0,0
195,United States,Total for all sectors,Total,Equally Hispanic/non-Hispanic,White,Total,Firms with 250 to 499 employees,0,0,0,0
196,United States,Total for all sectors,Total,Equally Hispanic/non-Hispanic,White,Total,Firms with 500 employees or more,31,3199079,39739,949088
197,United States,Total for all sectors,Female,Equally Hispanic/non-Hispanic,White,Total,All firms,1973,1549679,18119,424959
198,United States,Total for all sectors,Male,Equally Hispanic/non-Hispanic,White,Total,All firms,9048,29270987,138741,7023362
199,United States,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,White,Total,All firms,33244,36156045,295888,8714441
200,United States,Total for all sectors,Total,Non-Hispanic,White,Total,All firms,4407792,12794878083,53533855,2465708413
201,United States,Total for all sectors,Total,Non-Hispanic,White,Total,Firms with no employees,576431,245402684,0,39888016
202,United States,Total for all sectors,Total,Non-Hispanic,White,Total,Firms with 1 to 4 employees,2184485,958412057,4311162,179905246
203,United States,Total for all sectors,Total,Non-Hispanic,White,Total,Firms with 5 to 9 employees,723534,832327432,4775387,199861322
204,United States,Total for all sectors,Total,Non-Hispanic,White,Total,Firms with 10 to 19 employees,463510,1116863429,6227711,266129029
205,United States,Total for all sectors,Total,Non-Hispanic,White,Total,Firms with 20 to 49 employees,304716,1930455243,9200955,407867009
206,United States,Total for all sectors,Total,Non-Hispanic,White,Total,Firms with 50 to 99 employees,89475,1658574461,6111578,290842485
207,United States,Total for all sectors,Total,Non-Hispanic,White,Total,Firms with 100 to 249 employees,46509,2104179757,6886729,347656915
208,United States,Total for all sectors,Total,Non-Hispanic,White,Total,Firms with 250 to 499 employees,11695,1190994015,4092411,200342217
209,United States,Total for all sectors,Total,Non-Hispanic,White,Total,Firms with 500 employees or more,7430,2757669004,11927920,533216174
210,United States,Total for all sectors,Female,Non-Hispanic,White,Total,All firms,863533,1486098025,7914672,316634009
211,United States,Total for all sectors,Male,Non-Hispanic,White,Total,All firms,2876398,10185244392,39315708,1918889176
212,United States,Total for all sectors,Equally male/female,Non-Hispanic,White,Total,All firms,667861,1123535666,6303475,230185228
213,United States,Total for all sectors,Total,Total,Black or African American,Total,All firms,124551,128012399,1188819,36939229
214,United States,Total for all sectors,Total,Total,Black or African American,Total,Firms with no employees,17037,5862821,0,995043
215,United States,Total for all sectors,Total,Total,Black or African American,Total,Firms with 1 to 4 employees,66333,21668981,128697,4582964
216,United States,Total for all sectors,Total,Total,Black or African American,Total,Firms with 5 to 9 employees,19095,15097120,126014,4215097
217,United States,Total for all sectors,Total,Total,Black or African American,Total,Firms with 10 to 19 employees,11739,15971157,157818,5178547
218,United States,Total for all sectors,Total,Total,Black or African American,Total,Firms with 20 to 49 employees,6411,20462386,199007,6242324
219,United States,Total for all sectors,Total,Total,Black or African American,Total,Firms with 50 to 99 employees,2621,16073769,179734,4727705
220,United States,Total for all sectors,Total,Total,Black or African American,Total,Firms with 100 to 249 employees,874,14213762,127460,3996443
221,United States,Total for all sectors,Total,Total,Black or African American,Total,Firms with 250 to 499 employees,310,6840835,116614,2484785
222,United States,Total for all sectors,Total,Total,Black or African American,Total,Firms with 500 employees or more,132,11821568,153474,4516321
223,United States,Total for all sectors,Total,Total,White,Total,All firms,4769883,13303162548,56877432,2580104120
224,United States,Total for all sectors,Total,Total,White,Total,Firms with no employees,620611,262895752,0,42118464
225,United States,Total for all sectors,Total,Total,White,Total,Firms with 1 to 4 employees,2375040,1036300542,4694516,193123249
226,United States,Total for all sectors,Total,Total,White,Total,Firms with 5 to 9 employees,781984,889738319,5162831,212922816
227,United States,Total for all sectors,Total,Total,White,Total,Firms with 10 to 19 employees,500788,1187451164,6730460,282928489
228,United States,Total for all sectors,Total,Total,White,Total,Firms with 20 to 49 employees,326742,2019427728,9856333,429996044
229,United States,Total for all sectors,Total,Total,White,Total,Firms with 50 to 99 employees,95375,1718298023,6509650,304554206
230,United States,Total for all sectors,Total,Total,White,Total,Firms with 100 to 249 employees,49364,2171307790,7284793,360900676
231,United States,Total for all sectors,Total,Total,White,Total,Firms with 250 to 499 employees,12213,1219306366,4291070,208112676
232,United States,Total for all sectors,Total,Total,White,Total,Firms with 500 employees or more,7761,2798436864,12347779,545447500
233,United States,Total for all sectors,Female,Total,White,Total,All firms,945514,1575575539,8631458,338223826
234,United States,Total for all sectors,Female,Total,White,Total,Firms with no employees,129913,42885254,0,7605118
235,United States,Total for all sectors,Female,Total,White,Total,Firms with 1 to 4 employees,489895,166112568,934547,33338150
236,United States,Total for all sectors,Female,Total,White,Total,Firms with 5 to 9 employees,154959,140936177,1025973,36261021
237,United States,Total for all sectors,Female,Total,White,Total,Firms with 10 to 19 employees,92971,164385821,1249009,44091981
238,United States,Total for all sectors,Female,Total,White,Total,Firms with 20 to 49 employees,54313,252278126,1607100,59204828
239,United States,Total for all sectors,Female,Total,White,Total,Firms with 50 to 99 employees,14346,188913225,975015,38955407
240,United States,Total for all sectors,Female,Total,White,Total,Firms with 100 to 249 employees,6591,209443126,970204,42704995
241,United States,Total for all sectors,Female,Total,White,Total,Firms with 250 to 499 employees,1550,143999032,539277,23020442
242,United States,Total for all sectors,Female,Total,White,Total,Firms with 500 employees or more,979,266622210,1330333,53041884
243,United States,Total for all sectors,Male,Total,White,Total,All firms,3087049,10530941803,41363286,1994720992
244,United States,Total for all sectors,Male,Total,White,Total,Firms with no employees,392062,185236698,0,28994270
245,United States,Total for all sectors,Male,Total,White,Total,Firms with 1 to 4 employees,1525560,717468209,3023032,133597901
